classifier_name,dataset_name,accuracy
dwt,AppliancesEnergy,4
dft,AppliancesEnergy,3
dct,AppliancesEnergy,3
dwt,NewsTitleSentiment,1
dft,NewsTitleSentiment,2
dct,NewsTitleSentiment,1
dwt,BenzeneConcentration,6
dft,BenzeneConcentration,2
dct,BenzeneConcentration,3
dwt,BeijingPM25Quality,6
dft,BeijingPM25Quality,5
dct,BeijingPM25Quality,3
dwt,IEEEPPG,1
dft,IEEEPPG,1
dct,IEEEPPG,0
dwt,FloodModeling1,6
dft,FloodModeling1,1
dct,FloodModeling1,0
dwt,HouseholdPowerConsumption1,3
dft,HouseholdPowerConsumption1,3
dct,HouseholdPowerConsumption1,2
dwt,Covid3Month,2
dft,Covid3Month,1
dct,Covid3Month,1
