classifier_name,dataset_name,accuracy
dwt,BenzeneConcentration,6
dft,BenzeneConcentration,4
dct,BenzeneConcentration,2
dwt,BeijingPM25Quality,5
dft,BeijingPM25Quality,5
dct,BeijingPM25Quality,4
dwt,FloodModeling1,7
dft,FloodModeling1,1
dct,FloodModeling1,0
dwt,BeijingPM10Quality,3
dft,BeijingPM10Quality,4
dct,BeijingPM10Quality,3
dwt,HouseholdPowerConsumption1,1
dft,HouseholdPowerConsumption1,3
dct,HouseholdPowerConsumption1,2
dwt,IEEEPPG,1
dft,IEEEPPG,2
dct,IEEEPPG,0
dwt,Covid3Month,3
dft,Covid3Month,1
dct,Covid3Month,0
dwt,AppliancesEnergy,5
dft,AppliancesEnergy,3
dct,AppliancesEnergy,0
